id,Nombre,Plataforma,Marca,Puntuacion_usuario
3495,The 3rd Birthday,PSP,PlayStation,61.0
3496,Star Wars Pinball: Balance of the Force,Xbox360,Xbox,61.0
3497,Double Dragon IV,PlayStation4,PlayStation,61.0
3498,Mafia II: Definitive Edition,XboxOne,Xbox,61.0
3499,Stuntman: Ignition,PlayStation3,PlayStation,61.0
3500,Slender: The Arrival,PC,PC_Gamer,61.0
3501,Bear With Me: Episode 1,PC,PC_Gamer,61.0
3502,SingStar (2008),PlayStation3,PlayStation,61.0
3503,Pokemon Rumble World,3DS,Nintendo,61.0
3504,NBA 2K Playgrounds 2,XboxOne,Xbox,61.0
3505,The Dark Crystal: Age of Resistance Tactics,PC,PC_Gamer,61.0
3506,The Mummy: Tomb of the Dragon Emperor,PlayStation2,PlayStation,61.0
3507,ClaDun Returns: This is Sengoku!,PlayStation4,PlayStation,61.0
3508,Disney Epic Mickey 2: The Power of Two,Xbox360,Xbox,61.0
3509,PixelJunk Racers,PlayStation3,PlayStation,61.0
3510,Need for Speed Undercover,DS,Nintendo,61.0
3511,ZHEROS,PC,PC_Gamer,61.0
3512,The Thing,Xbox,Xbox,61.0
3513,For Honor,PlayStation4,PlayStation,61.0
3514,Football Manager 2015,PC,PC_Gamer,61.0
3515,Rock Band Blitz,PlayStation3,PlayStation,61.0
3516,Primal Carnage: Extinction,PlayStation4,PlayStation,61.0
3517,FIFA Soccer 2002,PlayStation2,PlayStation,61.0
3518,The Sojourn,PC,PC_Gamer,61.0
3519,Port Royale 3: Pirates and Merchants,PC,PC_Gamer,61.0
3520,Hatoful Boyfriend,PlayStation4,PlayStation,61.0
3521,Armikrog,PlayStation4,PlayStation,61.0
3522,Destiny,PlayStation4,PlayStation,61.0
3523,Off-Road Drive,PC,PC_Gamer,61.0
3524,Wild Guns Reloaded,PlayStation4,PlayStation,61.0
3525,Boom Boom Rocket,Xbox360,Xbox,61.0
3526,WWE Legends of WrestleMania,Xbox360,Xbox,61.0
3527,Saints Row 2: Ultor Exposed,Xbox360,Xbox,61.0
3528,Champions Online,PC,PC_Gamer,61.0
3529,Gods: Lands of Infinity,PC,PC_Gamer,61.0
3530,Samurai Warriors Chronicles 3,3DS,Nintendo,61.0
3531,Pacer,PlayStation4,PlayStation,61.0
3532,FRACT OSC,PC,PC_Gamer,61.0
3533,Forza Horizon: Rally Expansion Pack,Xbox360,Xbox,61.0
3534,Tiger Woods PGA Tour 12: The Masters,Xbox360,Xbox,61.0
3535,Her Story,PC,PC_Gamer,61.0
3536,Shantae and the Seven Sirens,PC,PC_Gamer,61.0
3537,Cities: Skylines - Natural Disasters,PC,PC_Gamer,61.0
